num,id,content,class
4001,soto2080,張善政算政治素人台灣就沒政治人物了,0
4002,ilovealv,政治素人不會一開始就當院長級,0
4003,frtwwilo,這是新的翻譯嗎 這叫政治素人,0
4004,jims123,敗選,0
4005,lazioliz,政治素膠懶,0
4006,yaieki,前行政院長也是素人喔???,0
4007,revera1992,哪裡素人啦，行政院長都當過了,0
4008,k3o5l6bj,笑死,0
4009,houu,素人？？,0
4010,vcx530,行政院長是政治素人?滿口口號,0
4011,Demia,張不是當過行政院長？,0
4012,s891510,沒有當過北高市長都是素人啦 叭叭,0
4013,wfleowang,重新定義素人跟庶民的團隊,0
4014,billy5588tw,都快要沒有人了,0
4015,max111111,素人是心態,0
4016,hohoptt,改也來不及了,0
4017,mayzn,"你是說哪個連善款都交待不清楚的""素人""??",0
4018,iamtan,當過行政院長是政治素人 就像買豪宅是庶民啊,0
4019,o760823,素人？,0
4020,OGCed,垃圾kmt素質,0
4021,ezpeer15,可能沒常上政論露臉都算素人吧,0
4022,F93935, https://i.imgur.com/hB5EIUb.jpg可能共識就是九二共識吧,0
4023,F93935, https://i.imgur.com/lxzSmyP.jpg邏輯有問題還自以為聰明九二共識跟維持現狀一樣嗎？,0
4024,F93935,無法溝通 頻率不同 柯糞繼續洗下去,0
4025,a000000000,柯糞還在自慰,0
4026,takase,崩潰的典型範例,0
4027,G8PIG,推！！,0
4028,yostop,柯糞崩潰,0
4029,threebig,講啥洨,0
4030,aa1052026,菸糞:不然你要投國民黨?,0
4031,luvfilm,柯糞崩潰 94爽,0
4032,amego2017,尻起來 尻起來,0
4033,seemoon2000,維持現狀跟不支持一國兩制沒有牴觸..要凹也凹好看一點,0
4034,seemoon2000,嗯? 洗阿 你以為我想得跟你一樣?,0
4035,seemoon2000,我又不是支持民進黨的 哪會崩潰?,0
4036,seemoon2000,嗯? 那你怎還沒發功?繼續阿 我還特地回來看,0
4037,seemoon2000,gogogo,0
4038,seemoon2000,這樣要讓我崩潰還很遠 真的要加油,0
4039,seemoon2000,我這樣要特地回來看文 有點花時間= =看你有甚麼驚天地的伎倆都用一用吧,0
4040,crusaders811,讓清潔隊有掃不完的地啊,0
4041,a1chemy,別這樣，明顯已經崩潰了不要再為難了好嘛,0
4042,s81048112,XDDD寄生柯粉,0
4043,greedypeople,原來不挺柯就是假時粉的嗎?,0
4044,s13914080,民眾黨已支持反滲透了，還在抹紅,0
4045,nakayamayyt,三黨不過半 票投國民黨,0
4046,lingarden,意外嗎 就柯糞阿,0
4047,tsungg,柯糞吃屎,0
4048,peterw,洗臉在哪裡？,0
4049,runfive,推,0
4050,deepdish,金融很多人學好嗎?是中文歷史地理學太多,0
4051,philip2364,怎麼綁的，講一下啊,0
4052,geesegeese,外來政權都一樣，習進平是恐嚇香港人深圳就是要取代香港的，現在還有澳門香港人要維護自由民主，可是用命拼,0
4053,F93935,期待柯韓合體,0
4054,iWatch2,小藍姐姐跟柯男水喔,0
4055,crusaders811,選前之夜的神秘嘉賓嗎,0
4056,DICB,那個好像有人之前也要跟民眾黨合作呢！所以那是什麼顏色呢？,0
4057,awesomeSS66,國台辦指示泛藍要團結,0
4058,zonezone,不意外啦，現在科憤都盲從了咩,0
4059,chao0210,神桶同路人,0
4060,minibiscuits,蟑螂真多,0
4061,greedypeople,小藍姊姊 那髮型要SEDO一下,0
4062,iamsocool,韓國瑜都說可以投蔡英文咧 dpp是小紅?,0
4063,lysimach,進步價值就是讚,0
